"Город или область","Временная зона"
"Алушта","+04:00"
"Астраханская область","+04:00"
"Астрахань","+04:00"
"Бахчисарай","+04:00"
"Великий Новгород","+04:00"
"Волгоград","+04:00"
"Джанкой","+04:00"
"Евпатория","+04:00"
"Калуга","+04:00"
"Калужская область","+04:00"
"Керчь","+04:00"
"Киров","+04:00"
"Колпино","+04:00"
"Краснодарский край","+04:00"
"Красноперекопск","+04:00"
"Курган","+06:00"
"Курганская область","+06:00"
"Москва","+04:00"
"Нижегородская область","+04:00"
"Нижний Новгород","+04:00"
"Новгородская область","+04:00"
"Орел","+04:00"
"Орловская область","+04:00"
"Псков","+04:00"
"Республика Башкортостан","+06:00"
"Республика Мордовия","+04:00"
"Республика Татарстан","+04:00"
"Рязанская область","+04:00"
"Рязань","+04:00"
"Саки","+04:00"
"Санкт-Петербург","+04:00"
"Севастополь","+04:00"
"Симферополь","+04:00"
"Тула","+04:00"
"Тульская область","+04:00"
"Удмуртская Республика","+04:00"
"Ульяновск","+04:00"
"Феодосия","+04:00"
"Чувашская Республика","+04:00"
"Ялта","+04:00"
